Values,Timestamp
92,28-06-2024 10:16:48
92,28-06-2024 10:19:01
92,28-06-2024 10:19:16
92,28-06-2024 10:19:33
92,28-06-2024 10:19:34
92,28-06-2024 10:19:51
92,28-06-2024 10:20:07
92,28-06-2024 10:20:23
92,28-06-2024 10:20:41
92,28-06-2024 10:20:57
92,28-06-2024 10:21:13
92,28-06-2024 10:21:30
92,28-06-2024 10:21:46
92,28-06-2024 10:22:01
92,28-06-2024 10:22:18
92,28-06-2024 10:22:20
92,28-06-2024 10:22:35
92,28-06-2024 10:22:52
92,28-06-2024 10:23:08
92,28-06-2024 10:23:25
92,28-06-2024 10:23:41
92,28-06-2024 10:23:57
92,28-06-2024 10:24:15
92,28-06-2024 10:24:31
92,28-06-2024 10:24:46
92,28-06-2024 10:25:02
92,28-06-2024 10:25:04
92,28-06-2024 10:25:20
92,28-06-2024 10:25:37
92,28-06-2024 10:25:53
92,28-06-2024 10:26:11
92,28-06-2024 10:26:26
92,28-06-2024 10:26:43
92,28-06-2024 10:27:16
92,28-06-2024 10:27:47
92,28-06-2024 10:30:34
92,28-06-2024 10:30:51
92,28-06-2024 10:31:07
92,28-06-2024 10:31:22
92,28-06-2024 10:31:41
92,28-06-2024 10:32:13
92,28-06-2024 10:32:29
92,28-06-2024 10:32:46
92,28-06-2024 10:33:01
92,28-06-2024 10:33:17
92,28-06-2024 10:33:19
92,28-06-2024 10:33:35
92,28-06-2024 10:33:52
92,28-06-2024 10:34:08
92,28-06-2024 10:34:25
92,28-06-2024 10:34:40
92,28-06-2024 10:35:14
92,28-06-2024 10:35:31
92,28-06-2024 10:35:46
92,28-06-2024 10:36:02
92,28-06-2024 10:36:04
92,28-06-2024 10:36:20
92,28-06-2024 10:36:36
92,28-06-2024 10:36:54
92,28-06-2024 10:37:10
92,28-06-2024 10:37:26
91,28-06-2024 10:37:59
91,28-06-2024 10:38:16
91,28-06-2024 10:38:31
91,28-06-2024 10:38:47
91,28-06-2024 10:38:49
91,28-06-2024 10:39:05
91,28-06-2024 10:39:22
91,28-06-2024 10:39:38
91,28-06-2024 10:39:55
91,28-06-2024 10:40:10
91,28-06-2024 10:40:28
91,28-06-2024 10:40:44
91,28-06-2024 10:41:01
91,28-06-2024 10:41:17
91,28-06-2024 10:41:32
91,28-06-2024 10:41:49
91,28-06-2024 10:42:05
91,28-06-2024 10:42:08
91,28-06-2024 10:42:23
91,28-06-2024 10:42:40
91,28-06-2024 10:42:56
91,28-06-2024 10:43:12
91,28-06-2024 10:43:30
91,28-06-2024 10:43:46
91,28-06-2024 10:44:02
91,28-06-2024 10:44:17
91,28-06-2024 10:44:34
91,28-06-2024 10:44:50
91,28-06-2024 10:44:53
91,28-06-2024 10:45:08
91,28-06-2024 10:45:25
91,28-06-2024 10:45:41
91,28-06-2024 10:45:58
91,28-06-2024 10:46:31
91,28-06-2024 10:46:46
91,28-06-2024 10:47:03
91,28-06-2024 10:47:19
91,28-06-2024 10:47:20
91,28-06-2024 10:47:37
91,28-06-2024 10:47:53
91,28-06-2024 10:48:08
91,28-06-2024 10:48:27
91,28-06-2024 10:48:43
91,28-06-2024 10:48:59
91,28-06-2024 10:49:15
91,28-06-2024 10:49:32
91,28-06-2024 10:49:47
91,28-06-2024 10:50:04
91,28-06-2024 10:50:06
91,28-06-2024 10:50:21
91,28-06-2024 10:50:38
91,28-06-2024 10:50:54
91,28-06-2024 10:51:11
91,28-06-2024 10:52:50
91,28-06-2024 10:53:06
91,28-06-2024 10:53:23
91,28-06-2024 10:53:40
91,28-06-2024 10:53:56
91,28-06-2024 10:54:12
91,28-06-2024 10:54:29
91,28-06-2024 10:54:46
91,28-06-2024 10:55:01
91,28-06-2024 10:55:18
91,28-06-2024 10:55:33
91,28-06-2024 10:55:35
91,28-06-2024 10:55:52
90,28-06-2024 10:56:08
90,28-06-2024 10:56:24
90,28-06-2024 10:56:40
90,28-06-2024 10:56:57
90,28-06-2024 10:57:14
90,28-06-2024 10:57:30
90,28-06-2024 10:57:47
90,28-06-2024 10:58:03
90,28-06-2024 10:58:18
90,28-06-2024 10:58:35
90,28-06-2024 10:58:37
90,28-06-2024 10:58:53
90,28-06-2024 10:59:09
90,28-06-2024 10:59:26
90,28-06-2024 10:59:41
90,28-06-2024 11:00:00
90,28-06-2024 11:00:15
90,28-06-2024 11:00:32
90,28-06-2024 11:00:48
90,28-06-2024 11:01:03
90,28-06-2024 11:01:20
90,28-06-2024 11:01:21
90,28-06-2024 11:01:38
90,28-06-2024 11:01:54
90,28-06-2024 11:02:11
90,28-06-2024 11:02:44
90,28-06-2024 11:03:00
90,28-06-2024 11:03:18
90,28-06-2024 11:03:33
90,28-06-2024 11:03:48
90,28-06-2024 11:04:05
90,28-06-2024 11:04:06
90,28-06-2024 11:04:23
90,28-06-2024 11:04:39
90,28-06-2024 11:04:55
90,28-06-2024 11:05:13
90,28-06-2024 11:05:29
90,28-06-2024 11:05:45
90,28-06-2024 11:06:02
90,28-06-2024 11:06:18
90,28-06-2024 11:06:33
90,28-06-2024 11:06:50
90,28-06-2024 11:06:51
90,28-06-2024 11:07:57
90,28-06-2024 11:08:15
90,28-06-2024 11:08:30
90,28-06-2024 11:08:47
90,28-06-2024 11:09:03
90,28-06-2024 11:09:18
90,28-06-2024 11:09:35
90,28-06-2024 11:09:36
90,28-06-2024 11:09:53
90,28-06-2024 11:10:08
90,28-06-2024 11:10:27
90,28-06-2024 11:10:42
90,28-06-2024 11:10:59
90,28-06-2024 11:11:15
90,28-06-2024 11:11:32
90,28-06-2024 11:11:48
90,28-06-2024 11:12:03
89,28-06-2024 11:12:20
89,28-06-2024 11:12:38
89,28-06-2024 11:12:54
89,28-06-2024 11:13:11
89,28-06-2024 11:13:26
89,28-06-2024 11:13:45
89,28-06-2024 11:14:00
89,28-06-2024 11:14:17
89,28-06-2024 11:14:33
89,28-06-2024 11:14:48
89,28-06-2024 11:15:05
89,28-06-2024 11:15:06
89,28-06-2024 11:15:23
89,28-06-2024 11:15:39
89,28-06-2024 11:15:55
89,28-06-2024 11:16:12
89,28-06-2024 11:16:28
89,28-06-2024 11:16:45
89,28-06-2024 11:17:00
89,28-06-2024 11:17:19
89,28-06-2024 11:17:33
89,28-06-2024 11:17:49
89,28-06-2024 11:17:51
89,28-06-2024 11:18:07
89,28-06-2024 11:18:23
89,28-06-2024 11:18:41
89,28-06-2024 11:18:57
89,28-06-2024 11:19:13
89,28-06-2024 11:19:47
89,28-06-2024 11:20:03
89,28-06-2024 11:20:18
89,28-06-2024 11:20:34
89,28-06-2024 11:29:57
89,28-06-2024 11:30:13
88,28-06-2024 11:30:29
89,28-06-2024 11:30:47
88,28-06-2024 11:31:03
88,28-06-2024 11:31:19
88,28-06-2024 11:35:09
88,28-06-2024 11:35:27
88,28-06-2024 11:35:43
88,28-06-2024 11:36:00
88,28-06-2024 11:36:16
88,28-06-2024 11:36:33
88,28-06-2024 11:36:49
88,28-06-2024 11:37:05
88,28-06-2024 11:37:21
88,28-06-2024 11:37:37
88,28-06-2024 11:37:39
88,28-06-2024 11:37:55
88,28-06-2024 11:38:11
88,28-06-2024 11:38:28
88,28-06-2024 11:38:45
88,28-06-2024 11:39:01
88,28-06-2024 11:39:17
88,28-06-2024 11:39:34
88,28-06-2024 11:39:50
88,28-06-2024 11:40:06
88,28-06-2024 11:40:22
88,28-06-2024 11:40:24
88,28-06-2024 11:40:40
88,28-06-2024 11:40:56
88,28-06-2024 11:41:13
88,28-06-2024 11:41:29
88,28-06-2024 11:41:46
88,28-06-2024 11:42:02
88,28-06-2024 11:42:18
88,28-06-2024 11:42:36
88,28-06-2024 11:42:50
88,28-06-2024 11:43:07
88,28-06-2024 11:43:09
88,28-06-2024 11:43:25
88,28-06-2024 11:43:41
88,28-06-2024 11:43:59
88,28-06-2024 11:44:14
87,28-06-2024 11:44:31
87,28-06-2024 11:44:48
87,28-06-2024 11:45:04
87,28-06-2024 11:45:20
87,28-06-2024 11:45:35
87,28-06-2024 11:45:52
87,28-06-2024 11:45:54
87,28-06-2024 11:46:10
86,28-06-2024 11:46:27
86,28-06-2024 11:46:43
86,28-06-2024 11:46:59
86,28-06-2024 11:47:16
86,28-06-2024 11:47:32
86,28-06-2024 11:47:50
86,28-06-2024 11:48:05
86,28-06-2024 11:48:20
86,28-06-2024 11:48:37
86,28-06-2024 11:48:38
86,28-06-2024 11:48:55
86,28-06-2024 11:49:12
86,28-06-2024 11:49:28
86,28-06-2024 11:49:44
85,28-06-2024 11:50:01
85,28-06-2024 11:50:18
85,28-06-2024 11:50:34
85,28-06-2024 11:50:49
85,28-06-2024 11:51:06
85,28-06-2024 11:51:22
85,28-06-2024 11:51:38
85,28-06-2024 11:51:40
85,28-06-2024 11:51:56
85,28-06-2024 11:52:13
85,28-06-2024 11:52:29
85,28-06-2024 11:52:46
85,28-06-2024 11:53:02
85,28-06-2024 11:53:20
85,28-06-2024 11:53:35
85,28-06-2024 11:53:51
85,28-06-2024 11:54:07
85,28-06-2024 11:54:23
85,28-06-2024 11:54:25
85,28-06-2024 11:54:42
85,28-06-2024 11:54:58
85,28-06-2024 11:55:14
85,28-06-2024 11:55:31
85,28-06-2024 11:55:48
85,28-06-2024 11:56:04
85,28-06-2024 11:56:20
85,28-06-2024 11:56:36
85,28-06-2024 11:56:52
85,28-06-2024 11:57:08
85,28-06-2024 11:57:10
85,28-06-2024 11:57:25
85,28-06-2024 11:57:43
85,28-06-2024 11:57:59
85,28-06-2024 11:58:16
85,28-06-2024 11:58:33
85,28-06-2024 11:58:48
85,28-06-2024 11:59:06
85,28-06-2024 11:59:22
85,28-06-2024 11:59:37
84,28-06-2024 11:59:53
84,28-06-2024 11:59:55
84,28-06-2024 12:00:11
84,28-06-2024 12:00:28
84,28-06-2024 12:00:44
84,28-06-2024 12:01:00
84,28-06-2024 12:01:18
84,28-06-2024 12:01:34
84,28-06-2024 12:01:50
84,28-06-2024 12:02:07
84,28-06-2024 12:02:23
84,28-06-2024 12:02:38
84,28-06-2024 12:02:55
84,28-06-2024 12:02:57
84,28-06-2024 12:03:13
84,28-06-2024 12:03:29
84,28-06-2024 12:03:46
84,28-06-2024 12:04:01
84,28-06-2024 12:04:20
84,28-06-2024 12:04:35
84,28-06-2024 12:04:52
84,28-06-2024 12:05:08
84,28-06-2024 12:05:23
84,28-06-2024 12:05:40
84,28-06-2024 12:05:41
84,28-06-2024 12:05:57
84,28-06-2024 12:06:15
84,28-06-2024 12:06:31
84,28-06-2024 12:06:47
84,28-06-2024 12:07:04
84,28-06-2024 12:07:20
84,28-06-2024 12:07:37
84,28-06-2024 12:07:52
84,28-06-2024 12:08:09
84,28-06-2024 12:08:25
84,28-06-2024 12:08:26
84,28-06-2024 12:08:43
84,28-06-2024 12:08:59
84,28-06-2024 12:09:15
84,28-06-2024 12:09:33
84,28-06-2024 12:09:49
84,28-06-2024 12:10:05
84,28-06-2024 12:10:22
84,28-06-2024 12:10:38
84,28-06-2024 12:10:53
84,28-06-2024 12:11:10
84,28-06-2024 12:11:12
84,28-06-2024 12:11:28
84,28-06-2024 12:11:44
84,28-06-2024 12:12:01
84,28-06-2024 12:12:17
84,28-06-2024 12:12:34
84,28-06-2024 12:12:50
84,28-06-2024 12:13:07
84,28-06-2024 12:13:23
84,28-06-2024 12:13:38
84,28-06-2024 12:13:56
84,28-06-2024 12:14:12
84,28-06-2024 12:14:30
84,28-06-2024 12:14:46
84,28-06-2024 12:15:02
